domain_id	length	sccs	superfamily	species_id
d1dlwa_	116	a.1.1.1	a.1.1	1dlw
d2gkma_	127	a.1.1.1	a.1.1	2gkm
d2qrwa_	126	a.1.1.1	a.1.1	2qrw
d1s69a_	123	a.1.1.1	a.1.1	1s69
d2bkma_	128	a.1.1.1	a.1.1	2bkm
d1asha_	147	a.1.1.2	a.1.1	1ash
d2dc3a_	172	a.1.1.2	a.1.1	2dc3
d1urva_	154	a.1.1.2	a.1.1	1urv
d3lb2a_	137	a.1.1.2	a.1.1	3lb2
d1ecaa_	136	a.1.1.2	a.1.1	1eca
d1x9fd_	140	a.1.1.2	a.1.1	1x9f
d1x9fc_	149	a.1.1.2	a.1.1	1x9f
d1cqxa1	150	a.1.1.2	a.1.1	1cqx
d1jl7a_	147	a.1.1.2	a.1.1	1jl7
d1it2a_	146	a.1.1.2	a.1.1	1it2
d1or4a_	169	a.1.1.2	a.1.1	1or4
d1itha_	141	a.1.1.2	a.1.1	1ith
d3g46a_	146	a.1.1.2	a.1.1	3g46
d1b0ba_	142	a.1.1.2	a.1.1	1b0b
d3d1ka_	142	a.1.1.2	a.1.1	3d1k
d1cg5a_	141	a.1.1.2	a.1.1	1cg5
d3d1kb_	146	a.1.1.2	a.1.1	3d1k
d1cg5b_	141	a.1.1.2	a.1.1	1cg5
d1gcvb_	136	a.1.1.2	a.1.1	1gcv
d2w72b_	146	a.1.1.2	a.1.1	2w72
d1hlba_	157	a.1.1.2	a.1.1	1hlb
d2gdma_	153	a.1.1.2	a.1.1	2gdm
d1mbaa_	146	a.1.1.2	a.1.1	1mba
d1naza_	154	a.1.1.2	a.1.1	1naz
d1q1fa_	148	a.1.1.2	a.1.1	1q1f
d1h97a_	147	a.1.1.2	a.1.1	1h97
d3mkbb_	133	a.1.1.2	a.1.1	3mkb
d3boma_	142	a.1.1.2	a.1.1	3bom
d2nrla_	145	a.1.1.2	a.1.1	2nrl
d1alla_	160	a.1.1.3	a.1.1	1all
d1allb_	161	a.1.1.3	a.1.1	1all
d3l0fa_	162	a.1.1.3	a.1.1	3l0f
d1b8da_	164	a.1.1.3	a.1.1	1b8d
d1xg0c_	174	a.1.1.3	a.1.1	1xg0
d2xkia_	110	a.1.1.4	a.1.1	2xki
d2wy4a_	139	a.1.1.0	a.1.1	2wy4
d2ig3a_	127	a.1.1.0	a.1.1	2ig3
d3pt8a_	151	a.1.1.0	a.1.1	3pt8
d2bk9a_	153	a.1.1.0	a.1.1	2bk9
d2g3ha_	153	a.1.1.0	a.1.1	2g3h
