domA	domB	source
1qdm	2gtg	benchmark
1puj	1zbd	benchmark
1cid	1dce	benchmark
1boo	1g38	benchmark
1ca1	1p8j	benchmark
1h0r	1iu9	benchmark
2pel	3cna	benchmark
k8	qz	benchmark
1qas	1rsy	benchmark
1phr	1vhr	benchmark
1jbw	1mkz	benchmark
d1ca1a2	d1w9sa_	candidate
d1l3wa3	d2ccva1	candidate
d2ccva1	d2illa2	candidate
d2ccva1	d3m8oh2	candidate
d1txka1	d2ccva1	candidate
d3mqda2	d6lw3a_	candidate
d1u14a1	d3mqda2	candidate
d1dt9a1	d3mqda2	candidate
d3mqda2	d4af1a2	candidate
d3bzca5	d3mqda2	candidate
d1qmha1	d2yyda1	candidate
d2hgaa1	d3nfka_	candidate
d1pj5a1	d2hvyb1	candidate
d1krha1	d1pj5a1	candidate
d1pj5a1	d2grea1	candidate
d1pj5a1	d2jdia2	candidate
d1pj5a1	d1xe1a_	candidate
d1pj5a1	d2crva1	candidate
d1d1na_	d1pj5a1	candidate
d1pj5a1	d1r5ba1	candidate
d1pj5a1	d2jdid2	candidate
d1pj5a1	d2pp6a1	candidate
d1pj5a1	d2c78a1	candidate
d1pj5a1	d3gqba1	candidate
d1pj5a1	d2dpya1	candidate
d1jnya1	d1pj5a1	candidate
d1pj5a1	d4ac9a2	candidate
d1pj5a1	d5tr9a1	candidate
d1pj5a1	d4rd4a2	candidate
d1pj5a1	d1zunb1	candidate
d1pj5a1	d2fvga1	candidate
d1ep3b1	d1pj5a1	candidate
d1pj5a1	d3h9na1	candidate
d1pj5a1	d1y0ya1	candidate
d1pj5a1	d4ac9a1	candidate
d1pj5a1	d1yloa1	candidate
d1g7sa1	d1pj5a1	candidate
d1pj5a1	d1vhoa1	candidate
d1pj5a1	d1sqra_	candidate
d3rf3a1	d4o5ma2	candidate
d1aepa_	d4o5ma2	candidate
d2rc5a2	d4lzla_	candidate
d2rc5a2	d5i4ca_	candidate
d1ykga1	d2rc5a2	candidate
d2rc5a2	d3ltea_	candidate
d2rc5a2	d3cfya1	candidate
d2rc5a2	d3eqza1	candidate
d1dbwa_	d2rc5a2	candidate
d2rc5a2	d5c1ta1	candidate
d2rc5a2	d3hlya_	candidate
d1w25a2	d2rc5a2	candidate
d2rc5a2	d6xvud_	candidate
d1ccwa_	d2rc5a2	candidate
d2rc5a2	d7ccia1	candidate
d1w25a1	d2rc5a2	candidate
d2rc5a2	d6ohka1	candidate
d2rc5a2	d6onta_	candidate
d2jrla_	d2rc5a2	candidate
d2b4aa1	d2rc5a2	candidate
d2qv0a_	d2rc5a2	candidate
d2rc5a2	d3eula_	candidate
d2rc5a2	d6ekgy_	candidate
d1bvyf_	d2rc5a2	candidate
d2rc5a2	d5nula_	candidate
d2rc5a2	d3t8ya_	candidate
d2qr3a1	d2rc5a2	candidate
d2rc5a2	d3hv2a_	candidate
d2rc5a2	d4nica_	candidate
d2rc5a2	d5tqja_	candidate
d2rc5a2	d3heba1	candidate
d2rc5a2	d5wida_	candidate
d2rc5a2	d4e7pa1	candidate
d2rc5a2	d4euka_	candidate
d2rc5a2	d3khta_	candidate
d1t3ga_	d2rc5a2	candidate
d1dcfa_	d2rc5a2	candidate
d2rc5a2	d3h5ia_	candidate
d1m5ta_	d2rc5a2	candidate
d2rc5a2	d4zyla_	candidate
d2mska_	d2rc5a2	candidate
d2rc5a2	d3q15c_	candidate
d2ar5a1	d2ia7a1	candidate
